"ID_Band","TimePoint","AgeCategory","Sex","Mom_ID","Cohort","Treatment","Died_InTrt","Glucose_1","Glucose_2","Glucose_3","Ketone_1","Ketone_2","Ketone_3","Plasma_Color","Hematocrit","BleedTime_Min","Glucose_Meter_Lot_Number","Ketone_Meter_Lot_Number","Room","Notes","Blood_SQ.Mean_SCNAG","Blood_SQ.Mean_mtDNA","Blood_mtDNA.Mean","Blood_Cq.Mean_SCNAG","Blood_SQ.Mean_Telomeres","Blood_Cq.Mean_Telomeres","Blood_Telomeres.per.cell"
4737,"Baseline","Younger","F",4210,6,"C","Yes","280","293","No","0.4","No","No","U","54","1:52","042224A","",114,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",204.942182988898,30.2143487003374,0.147428646751431,23.8925037749568,90483.1354860997,16.1919426697766,441.505668410887
4738,"Baseline","Younger","F",4210,6,"E","No","254","217","No","0.3","No","No","L","52","2:30","042224A","",114,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",123.49940959496,26.621642441016,0.215560888334015,24.6023404043547,54701.8200114112,17.0404975943659,442.931834174886
4739,"Baseline","Younger","F",4023,5,"E","No","205","208","No","0.4","No","No","U","58","1:45","042224A","75001L04",114,"",92.0027300102222,48.2967878558527,0.524949508025322,25.0267168508104,149955.610003483,15.3550255018661,1629.90391683836
4741,"Baseline","Younger","F",4111,6,"B","No","211","211","No","0.5","No","No","L","58","2:25","042224A","",114,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA
4745,"Baseline","Younger","F",4111,6,"E","No","204","187","No","0.6","No","No","U","56","1:30","042224A","",118,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",175.265044802604,54.8224639454668,0.312797477712751,24.1104720538162,95191.9389399925,16.1070468386642,543.131341718507
4748,"Baseline","Younger","F",4150,7,"C","No","318","No","No","No","No","No","L","54","5:00","042224A","75001L04",118,"Glucose after 3 min",NA,NA,NA,NA,NA,NA,NA
4749,"Baseline","Younger","F",4150,7,"D","No","234","230","No","0.3","No","No","U","52","1:47","042224A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA
4752,"Baseline","Younger","F",4546,6,"D","No","242","232","No","0.4","No","No","U","50","1:23","042224A","",114,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA
4757,"Baseline","Younger","M",4147,7,"B","No","274","265","No","0.4","No","No","U","52","3:00/4:27","042224A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA
4758,"Baseline","Younger","F",4147,7,"E","No","273","312","No","0.3","No","No","U/L","No","3:00/5:00","042224A","75001L04",114,"",290.063239219792,44.8724186660746,0.154698743580096,23.4045336666833,169281.373422467,15.1516132213239,583.601610041306
4759,"Baseline","Younger","F",4147,7,"D","No","219","234","No","0.5","No","No","L","52","3:00","042224A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA
4761,"Baseline","Younger","F",4290,8,"B","Yes","206","208","No","0.5","No","No","L","54","1:55","032124A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA
4764,"Baseline","Younger","M",4564,11,"B","No","224","204","No","0.6","0.5","No","U","No","2:50","","",114,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA
4765,"Baseline","Younger","F",4564,8,"D","No","308","290","No","0.5","No","No","L","54","3:00/6:00","032124A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA
4766,"Baseline","Younger","F",4564,9,"E","No","175","218","No","0.6","No","No","No","No","3:00","032124A","75001L04",114,"plasma tubes moved around in centrifuge",NA,NA,NA,NA,NA,NA,NA
4768,"Baseline","Younger","F",4171,7,"B","Yes","203","202","No","0.5","No","No","U","56","1:15","042224A","75001L04",118,"",248.403002801292,63.5216232517932,0.255720029691456,23.6292043523891,145122.330475656,15.4100182979733,584.22132115587
4769,"Baseline","Younger","M",4171,11,"B","No","140","158","No","0.3","0.3","No","Y","56","1:40","","",118,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA
4771,"Baseline","Younger","M",4542,8,"B","No","224","222","No","0.4","No","No","U","52","1:14","032124A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA
4772,"Baseline","Younger","F",4542,8,"E","No","233","219","No","0.5","No","No","U","52","2:24","032124A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA
4773,"Baseline","Younger","F",4542,8,"D","No","204","192","No","0.6","No","No","U/L","56","1:35","032124A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA
4774,"Baseline","Younger","F",4564,9,"B","Yes","243","224","No","0.4","No","No","No","No","3:00","032124A","75001L04",114,"plasma tubes moved around in centrifuge",NA,NA,NA,NA,NA,NA,NA
4775,"Baseline","Younger","F",4171,7,"C","Yes","182","192","No","0.4","No","No","U","58","2:12","042224A","75001L04",114,"",216.370340727878,27.5591317146732,0.127370191413311,23.8151449976947,159320.41695082,15.2518588479638,736.332051864688
4776,"Baseline","Younger","F",4542,8,"C","No","203","186","No","0.4","No","No","U/L","52","3:00","032124A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA
4777,"Baseline","Younger","F",4364,7,"E","No","210","205","No","0.5","No","No","U","50","2:30","032124A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA
4778,"Baseline","Younger","M",4364,11,"B","No","292","287","No","0.3","0.3","No","U","46","2:41","","",114,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA
4782,"Baseline","Younger","F",4127,8,"C","No","232","194","146","0.4","No","No","U/L","56","3:00/5:00","032124A","75001L04",118,"coagulated",NA,NA,NA,NA,NA,NA,NA
4783,"Baseline","Younger","M",4127,9,"B","No","230","233","No","0.5","No","No","U","60","1:48","032124A","75001L04",118,"Plasma color listed as U-r?",NA,NA,NA,NA,NA,NA,NA
