ZF_4625_B_BL	ZF_4719_B_BL	ZF_4720_B_BL	ZF_4737_B_BL	ZF_4738_B_BL	ZF_4739_B_BL	ZF_4745_B_BL	ZF_4761_B_BL	ZF_4768_B_BL	ZF_4774_B_BL	ZF_4775_B_BL	ZF_4784_B_BL	ZF_4785_B_BL	ZF_4798_B_BL	ZF_4802_B_BL	ZF_4810_B_BL	ZF_4817_B_BL
RIOX2	5.83422258204605	6.85091802421893	6.57786820083591	6.91241606078422	6.83053608628705	6.484409968503	6.40138091814325	6.56300797973885	6.3316288168163	6.40901667441955	6.79340224851339	6.85336666992085	7.51259922377566	7.2187812528447	7.04072040652595	6.21106014090286	7.29109315104547
DCAF6	12.0761725798373	11.9904197318073	11.8277392335972	12.2630254834844	12.1812966260141	12.299847836483	11.8247865986294	12.1433900545634	12.6404803189756	13.0515483441672	12.300036714187	11.8388067848935	12.6655295552385	11.7092418907579	12.6440827822833	11.999528620527	12.5595281558909
CRYBG3	9.90230405443997	10.6266785999325	10.1157828996303	10.8374949271043	10.1388082219085	10.2435850064905	10.0620228620832	10.6568946716637	10.8078378286952	11.3655733994429	11.6112983423307	10.8416219291146	10.1847159561725	9.82063646722417	10.9070693886304	10.1680236053249	11.29454537595
POU2F1	12.1371760855071	12.2662130146446	12.4923297720164	12.6091087531103	12.406927518818	12.1997293312117	12.7419743988826	12.3787377690207	12.3771375236771	12.6007855654433	12.8343834817536	12.0750147834349	12.4905554257335	12.1165758125748	12.4722723937752	12.5876808039459	12.6002458925275
CD247	7.47840784222607	9.28489870986967	7.65731354731459	8.25304953053107	9.04214898570424	9.17115089661617	7.54652644377321	10.3934253821637	9.644413572462	8.56739439724801	8.95015395971742	9.59076545739797	10.1859257388661	10.1604934294511	9.66708543991328	10.3265634434105	9.57345453728351
CREG1	18.0632513212333	17.7232838183471	17.0256177511789	16.9518447397019	17.3905272713822	18.2868778648471	17.1208352323217	17.9449903865024	17.8511307158912	16.9931714089522	17.8916507530204	17.7015387337862	18.424833797955	17.7251531563795	18.0621658485787	17.5424947536912	17.918638084172
NSUN3	8.34919498499775	6.8646047896603	8.20092319120636	6.34632438531964	7.90415858020506	7.6787979502316	7.56179274531932	5.51189284273868	6.80521578714406	7.79005032203946	6.39163078421555	4.10062840761053	6.13592776344465	5.04293619818847	5.54897142733919	7.27121247518751	5.36097957366436
C1H3orf38	7.23662184809043	9.39273906360163	8.3074881473785	6.76174307635114	7.6308820342397	9.43152770287612	8.34064744420323	8.04235460924777	7.5604545990104	9.6937268302685	8.19689276177028	8.4235364919624	9.01270803869956	6.7530162135774	8.55142003972052	8.16523683487402	8.69815276559327
ARL13B	8.71028022132225	9.35202345235268	10.0130443246218	9.76454564670951	9.96573374210434	9.95469744633784	9.39917409168375	8.79953360971856	9.30103479731553	9.75380882016784	9.30972015285692	8.98426805069213	9.73374250378503	9.36924843839523	9.46541663022723	9.64517374592798	9.12799748543018
PROS1	6.43642371003702	8.25119301460284	9.33910375845848	7.98272556783169	7.05267709882782	8.37652709857547	8.53881054983668	7.20713320804103	8.52122490598318	9.46952616849505	8.28586507433561	7.36515397209673	7.77945444144487	7.17386040908542	8.71182337437485	7.47966693965617	7.70162210953422
HEMK2	7.97560909652795	8.52985168060843	9.31983320263402	7.37567076302548	7.56022979493158	7.83104144645909	7.95192893237465	8.57768072200419	7.7731809084755	8.32894863505133	7.52786063610257	8.31271200754045	7.79222037115621	7.52810251447397	7.2238294931592	8.14409480130414	9.01273513015625
ZNF654	12.2761630534926	12.2160461798462	11.9463636159233	11.3597739777651	11.6788811267194	12.4711903500646	11.6884297194152	12.5023266527281	12.3391580455152	11.6448004235883	12.6222635650667	12.802865845702	12.7187399636255	12.0335217413601	12.2744843900576	12.4125454050908	12.2283324012141
CGGBP1	13.201494097554	13.2303375481151	12.8142615823238	12.8776530082606	13.0196716346917	13.1732094685164	13.0825039624538	13.0244668119434	13.045927970709	12.7127237158986	13.542134495033	13.6799378311295	13.359716111262	13.2360950231238	12.7825564242236	12.8295184417697	12.9946717914747
P2RY2	11.1475772668063	10.8365513131012	10.9635122788833	11.7945109728237	11.7935663935265	10.9771972732081	10.2807669279896	11.3375051862165	11.6253064078129	11.66580244225	10.7700622784063	11.3854187730605	10.9478160145043	10.9817148164274	11.1734806732621	11.7656231155504	11.8100426171185
LOC115493573	6.96964577385688	5.5271079561105	7.30224914592317	6.3843318445455	6.76350568362549	7.16184313011052	6.51554466241424	7.46714054962029	7.5703859778453	6.1401678457555	7.1605678197664	7.62897376024627	8.15546222476842	6.6518171821965	6.38027125157552	8.10633392471102	7.79760371954047
SERPINH1	6.07133510812895	4.77651084807245	6.34987060745052	5.57586250359138	6.47313786089127	5.54256458480066	6.67847379835239	7.31992309519482	6.4439279269714	6.22968551310294	6.98273176747213	7.4690366084961	7.44952888043556	6.31372965639831	6.64775958328113	7.73429734323881	6.68864498937669
RPS3	14.8404303304832	14.1908256818045	13.5574166995932	14.0618119853361	14.0307626381086	14.6891157097655	13.6357511810812	14.519484097969	14.6814852291238	13.2455142094362	13.7824581377074	14.3349622230996	14.3340262711552	14.4070442927318	14.0399443864192	14.7755008604979	14.625905350583
FAM168A	8.1770032763195	7.72220303753145	7.33140905522654	8.0133674914503	8.31248831093335	7.70685856081674	7.97492005889539	8.20644108556803	8.06773371193139	7.68634954537512	8.18151558678548	8.46809714375978	7.23253128802943	8.03961374144575	7.91865654664009	7.68391321959387	8.01019292101451
RAB6A	10.6828654869238	10.0386550023108	10.5189236459712	10.7709074588699	10.4102372133185	10.0139229959863	9.98625576218314	9.76840305333898	10.3058476355362	10.7931723661222	10.1062938789891	10.0429953560103	9.30542201542872	10.2530202354802	10.1904346136223	9.94474890380372	10.3038629317323
DNAJB13	6.80846494524321	6.3456005230841	6.96037654563268	7.24749655916424	6.96589328137098	6.62829451131065	7.19162199567233	6.60176980888638	6.37760262919798	5.55619718754502	6.54369745444666	6.71230706411338	6.13592776344465	6.45560129509734	6.59808304487988	7.02746771957566	6.82851668848075
